Formula,LC_A
AgCoF_{3},3.983
AgMgF_{3},3.918
AgMnF_{3},4.03
AgNiF_{3},3.936
AgZnF_{3},3.972
BaAmO_{3},4.357
BaCeO_{3},4.397
BaFeO_{3},3.994
BaHfO_{3},4.171
BaIrO_{3},4.1
BaMoO_{3},4.04
BaNbO_{3},4.08
BaNpO_{3},4.384
BaPaO_{3},4.45
BaPbO_{3},4.265
BaPrO_{3},4.354
BaSnO_{3},4.116
BaThO_{3},4.48
BaTiO_{3},4.012
BaUO_{3},4.387
BaZrO_{3},4.193
CaTiO_{3},3.84
CeAlO_{3},3.772
CsCaCl_{3},5.396
CsCaF_{3},4.523
CsCdF_{3},4.47
CsEuCl_{3},5.627
CsEuF_{3},4.78
CsHgBr_{3},5.77
CsHgCl_{3},5.41
CsHgF_{3},4.57
CsIO_{3},4.674
CsPbBr_{3},5.874
CsPbCl_{3},5.605
CsPbF_{3},4.8
CsSnBr_{3},5.795
CsSnI_{3},6.219
CsSrF_{3},4.75
CsTmCl_{3},5.476
CsYbCl_{3},5.437
CsYbF_{3},4.61
EuAlO_{3},3.725
EuCrO_{3},3.803
EuFeO_{3},3.836
EuTiO_{3},3.905
GdAlO_{3},3.71
GdCrO_{3},3.795
GdFeO_{3},3.82
KCdF_{3},4.293
KCoF_{3},4.071
KFeF_{3},4.121
KMgF_{3},3.989
KMnF_{3},4.189
KNbO_{3},4.007
KNiF_{3},4.013
KPaO_{3},4.341
KTaO_{3},3.988
KUO_{3},4.29
KVF_{3},4.1
KZnF_{3},4.056
LaAlO_{3},3.778
LaCrO_{3},3.874
LaFeO_{3},3.92
LaGaO_{3},3.874
LaRhO_{3},3.94
LaTiO_{3},3.92
LaVO_{3},3.91
LiBaF_{3},3.992
NaTaO_{3},3.881
NaVF_{3},3.94
NaWO_{3},3.85
NdAlO_{3},3.752
NdCoO_{3},3.777
NdCrO_{3},3.835
NdFeO_{3},3.87
PrAlO_{3},3.757
PrCrO_{3},3.852
PrFeO_{3},3.887
PrGaO_{3},3.863
PrMnO_{3},3.82
PrVO_{3},3.89
RbCaF_{3},4.452
RbCdF_{3},4.398
RbCoF_{3},4.141
RbFeF_{3},4.174
RbHgF_{3},4.47
RbMnF_{3},4.24
RbPaO_{3},4.368
RbPbF_{3},4.79
RbPdF_{3},4.298
RbUO_{3},4.323
RbVF_{3},4.17
RbYbF_{3},4.53
RbZnF_{3},4.122
SmAlO_{3},3.734
SmCoO_{3},3.75
SmFeO_{3},3.845
SmVO_{3},3.89
SnTaO_{3},3.88
SrAmO_{3},4.23
SrCoO_{3},3.85
SrFeO_{3},3.85
SrHfO_{3},4.069
SrMnO_{3},3.806
SrMoO_{3},3.975
SrNbO_{3},4.016
SrPuO_{3},4.28
SrSnO_{3},4.034
SrTbO_{3},4.18
SrTcO_{3},3.949
SrTiO_{3},3.905
SrVO_{3},3.89
SrZrO_{3},4.101
TlCdF_{3},4.4
TlCoF_{3},4.138
TlFeF_{3},4.188
TlMnCl_{3},5.02
TlMnF_{3},4.26
TlPdF_{3},4.301
YAlO_{3},3.68
YCrO_{3},3.768
YFeO_{3},3.785
